"","inhs.vouchered","id","inhs.location_RiverMile","idigbio.etag","inhs.locationTrs","dwc.relatedResourceID","dwc.eventID","dwc.lifeStage","dwc.class","dwc.georeferencedBy","dwc.occurrenceStatus","idigbio.hostFamily","dwc.behavior","dwc.occurrenceID","dwc.VerbatimEventDate","dwc.datasetID","dwc.recordedBy","dwc.dynamicProperties","dwc.footprintWKT","dwc.earliestEraOrLowestErathem","dwc.verbatimCoordinateSystem","dwc.genus","dwc.originalNameUsage","dwc.previousIdentifications","dwc.eventTime","dwc.associatedMedia","dwc.locationID","dwc.identificationVerificationStatus","fcc.superfamily","idigbio.subgenus","dwc.order","dwc.georeferenceRemarks","dwc.preparation","idigbio.associateIdentifier","dcterms.accessRights","dcterms.modified","idigbio.associateRelationship","dwc.kingdom","dwc.specificEpithet","idigbio.createdBy","dwc.identificationID","dwc.member","dcterms.references","idigbio.associateCommonName","dwc.coordinateUncertaintyInMeters","idigbio.subfamily","dwc.verbatimDepth","dwc.institutionID","dwc.verbatimTaxonRank","dcterms.source","dwc.minimumElevationInMeters","dwc.verbatimSRS","dwc.earliestAgeOrLowestStage","dwc.taxonRank","dwc.startDayOfYear","dwc.higherGeography","idigbio.recordId","dwc.eventDate","idigbio.substrate","idigbio.preparationCount","dwc.disposition","dwc.continent","dwc.fieldNotes","dwc.sex","inhs.instars_Female","inhs.relic","dwc.individualCount","idigbio.endangeredStatus","idigbio.associateCondition","idigbio.recordID","dwc.country","dwc.georeferenceProtocol","fcc.pickedBy","dwc.nameAccordingTo","dcterms.type","dwc.identificationRemarks","dwc.preparations","dwc.verbatimLongitude","dcterms.language","dwc.nomenclaturalCode","dwc.waterBody","idigbio.version","inhs.formI_males","inhs.formII_males","dwc.identificationReferences","dwc.rights","inhs.formII_females","dwc.month","dwc.dateIdentified","dwc.eventRemarks","dwc.formation","dwc.rightsHolder","dwc.samplingProtocol","dwc.dataGeneralizations","inhs.total_Males","dwc.maximumDepthInMeters","dwc.vernacularName","dwc.subgenus","dwc.samplingEffort","inhs.juv_males","dwc.locality","dwc.verbatimLocality","dwc.group","dwc.georeferencedDate","dwc.verbatimElevation","dwc.basisOfRecord","dwc.catalogNumber","inhs.instars_Male","dwc.bed","dwc.georeferenceSources","dwc.ownerInstitutionCode","dwc.associatedSequences","dwc.coordinatePrecision","dwc.informationWithheld","idigbio.uuid","dwc.county","dwc.associatedReferences","dwc.verbatimCoordinates","idigbio.dateModified","dwc.minimumDepthInMeters","idigbio.associatedFamily","dwc.scientificName","dwc.verbatimLatitude","idigbio.tribe","dwc.scientificNameAuthorship","inhs.live","dwc.georeferenceVerificationStatus","http...symbiota.org.terms.verbatimScientificName","dwc.identifiedBy","dwc.islandGroup","inhs.location_Basin","inhs.dead","dwc.accessRights","symbiota.verbatimScientificName","fcc.subfamily","dwc.lowestBiostratigraphicZone","dwc.locationAccordingTo","row.number","dwc.institutionCode","dwc.island","idigbio.associateDeterminedBy","dwc.maximumElevationInMeters","idigbio.preservative","idigbio.determinationHistory","dwc.taxonRemarks","idigbio.recordIds","dwc.latestEraOrHighestErathem","dwc.recordNumber","dwc.geodeticDatum","dwc.higherClassification","symbiotaverbatimScientificName","dwc.associatedOccurrences","dwc.collectionCode","dcterms.rights","dwc.datasetName","dwc.nomenclaturalStatus","inhs.juv_females","inhs.total_females","dwc.lithostratigraphicTerms","dwc.endDayOfYear","dwc.namePublishedInID","dwc.phylum","dwc.taxonID","fcc.datePicked","dwc.fieldNumber","inhs.juv_undetermined","dwc.establishmentMeans","dwc.earliestPeriodOrLowestSystem","dwc.namePublishedIn","idigbio.associatedRelationship","dwc.earliestEpochOrLowestSeries","idigbio.associateAuthor","dwc.locationRemarks","dwc.latestAgeOrHighestStage","inhs.superfamily","dwc.scientificNameID","dcterms.bibliographicCitation","dwc.individualID","dwc.decimalLatitude","dwc.reproductiveCondition","dwc.typeStatus","dwc.stateProvince","idigbio.associateNotes","dcterms.reference","dwc.day","dwc.infraspecificEpithet","dwc.municipality","dwc.identificationQualifier","dwc.latestEpochOrHighestSeries","dwc.habitat","dwc.collectionID","dwc.verbatimEventDate","dwc.associatedTaxa","dwc.countryCode","dwc.decimalLongitude","dwc.occurrenceRemarks","inhs.location_Stream","idigbio.barcodeValue","dwc.latestPeriodOrHighestSystem","dwc.family","dcterms.rightsHolder","dwc.otherCatalogNumbers","dwc.year"
"168",NA,"dbeff729-f85a-4f33-8d39-450fd8c2cd9c",NA,"7cf3cb41d55b2a0df5782716eded56f2ca249f9a",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"3B078263-E340-43D3-B3E0-5ACD3CB60975",NA,NA,"François Michonneau, Masami Obuchi","",NA,NA,"","Holothuria",NA,NA,NA,"","FMOK11-St-35","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Japan","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,5,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","11028-Echinodermata",NA,NA,"","",NA,NA,NA,"dbeff729-f85a-4f33-8d39-450fd8c2cd9c","Okinawa","","","2014-09-12T09:57:10.944Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,26.551582,NA,"","Ryukyus",NA,NA,20,"",NA,NA,NA,"",NA,"",NA,NA,128.060533,NA,NA,NA,NA,"Holothuriidae","","",2011
"170",NA,"d3586d3c-c238-4c50-a5dc-1b65d4ad7010",NA,"915794b480a73b717c16d121641a18dc0a712bf5",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"BAA46889-E204-435E-B33B-ED7668F53AB7",NA,NA,"Netchy, K. & Lasley, R.","",NA,NA,"","Holothuria",NA,NA,NA,"","KNRL-011","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Philippines","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,4,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","4108-Echinodermata",NA,NA,"","",NA,NA,NA,"d3586d3c-c238-4c50-a5dc-1b65d4ad7010","","","","2014-09-12T10:06:39.329Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,9.4158,NA,"","Negros Province",NA,NA,28,"",NA,NA,NA,"",NA,"",NA,NA,123.2449,NA,NA,NA,NA,"Holothuriidae","","",2005
"556",NA,"eafeb94f-caea-4d4b-8cb0-b4cf1e8bc1de",NA,"5ef46a5ee964e9b93a54c5cfe7b56db115c109d3",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"281635FC-B4AD-4A46-9F89-442EA2A5BD39",NA,NA,"","",NA,NA,"","Holothuria",NA,NA,NA,"","PM8","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Papua New Guinea","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,11,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","14652-Echinodermata",NA,NA,"","",NA,NA,NA,"eafeb94f-caea-4d4b-8cb0-b4cf1e8bc1de","","","","2014-09-12T14:53:42.163Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-5.2549,NA,"","Madang Province",NA,NA,12,"",NA,NA,NA,"",NA,"",NA,NA,145.7775,NA,NA,NA,NA,"Holothuriidae","","",2012
"698",NA,"a712363a-1d4d-48ad-b144-cb76cd3cb10e",NA,"6eb5073ab55f87b487db65ecb759482b5c716909",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"F5581C4E-7376-4431-B7FB-E7733427A5F6",NA,NA,"Yasunori Kano, Pierre Lozouet, John Slapcinsky, Cyndie Dupoux, Timea Neusser, Bastian Brenzinger, Anouchka Sato","",NA,NA,"","Holothuria",NA,NA,NA,"","PM22","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Papua New Guinea","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,11,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","14729-Echinodermata",NA,NA,"","",NA,NA,NA,"a712363a-1d4d-48ad-b144-cb76cd3cb10e","","","","2014-09-12T10:09:11.585Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-5.07888,NA,"","Madang Province",NA,NA,14,"",NA,NA,NA,"",NA,"",NA,NA,145.814753,NA,NA,NA,NA,"Holothuriidae","","",2012
"735",NA,"76801f19-e1cc-4ab8-b5b6-f453a8c9e532",NA,"3a61fc7e8bf6fc8e050cac561ec0be149f24c53c",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"15B562FA-CDD4-45C7-B631-FDCCC1501BFD",NA,NA,"François Michonneau, Masami Obuchi","",NA,NA,"","Holothuria",NA,NA,NA,"","FMOK11-St-35","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Japan","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,5,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","11024-Echinodermata",NA,NA,"","",NA,NA,NA,"76801f19-e1cc-4ab8-b5b6-f453a8c9e532","Okinawa","","","2014-09-12T09:18:35.879Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,26.551582,NA,"","Ryukyus",NA,NA,20,"",NA,NA,NA,"",NA,"",NA,NA,128.060533,NA,NA,NA,NA,"Holothuriidae","","",2011
"802",NA,"28b9f8e6-6110-45d2-b0b5-88efce3e1cef",NA,"91eaf60514dbb6655c8bacdefc0c36b24c3c8927",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"67955784-C3B9-49F0-A608-7F43A9E21BFB",NA,NA,"Yasunori Kano, Pierre Lozouet, John Slapcinsky, Cyndie Dupoux, Timea Neusser, Bastian Brenzinger, Anouchka Sato","",NA,NA,"","Holothuria",NA,NA,NA,"","PM22","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Papua New Guinea","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,11,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","14730-Echinodermata",NA,NA,"","",NA,NA,NA,"28b9f8e6-6110-45d2-b0b5-88efce3e1cef","","","","2014-09-12T18:40:28.392Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-5.07888,NA,"","Madang Province",NA,NA,14,"",NA,NA,NA,"",NA,"",NA,NA,145.814753,NA,NA,NA,NA,"Holothuriidae","","",2012
"1731",NA,"c81422bf-e23c-4c82-9564-82eec2092501",NA,"ac68596995728e0088d81691c4f8c68ae73e9c3a",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"D35473FA-EC94-41BE-993E-77673BA3E7BF",NA,NA,"Netchy, K. & Lasley, R.","",NA,NA,"","Holothuria",NA,NA,NA,"","KNRL-011","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Philippines","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,4,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","4110-Echinodermata",NA,NA,"","",NA,NA,NA,"c81422bf-e23c-4c82-9564-82eec2092501","","","","2014-09-12T15:47:39.296Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,9.4158,NA,"","Negros Province",NA,NA,28,"",NA,NA,NA,"",NA,"",NA,NA,123.2449,NA,NA,NA,NA,"Holothuriidae","","",2005
"2009",NA,"93a98396-205e-4307-aab9-c85cb4fb51fc",NA,"d9d44625196076bb259e9a0c0bf8978756da2ccd",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"B4EBEB15-C00C-403C-A212-C7B10726E677",NA,NA,"Yasunori Kano","",NA,NA,"","Holothuria",NA,NA,NA,"","ZZZ-093528","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Japan","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,4,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","9111-Echinodermata",NA,NA,"","",NA,NA,NA,"93a98396-205e-4307-aab9-c85cb4fb51fc","Kagoshima Prefecture","","","2014-09-12T18:16:54.144Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,31.4111111111111,NA,"","Kyushu Island",NA,NA,26,"",NA,NA,NA,"",NA,"",NA,NA,130.192222222222,NA,NA,NA,NA,"Holothuriidae","","",2009
"2136",NA,"243bf112-dd9e-47b7-b7b0-8dd6d0e04532",NA,"5a72fd71bd41928a6e6cf963943e229a57d8a885",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"4723B648-664C-4932-8C7B-D347F14D3604",NA,NA,"","",NA,NA,"","Holothuria",NA,NA,NA,"","PM8","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Papua New Guinea","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,11,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","14651-Echinodermata",NA,NA,"","",NA,NA,NA,"243bf112-dd9e-47b7-b7b0-8dd6d0e04532","","","","2014-09-12T11:20:40.878Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-5.2549,NA,"","Madang Province",NA,NA,12,"",NA,NA,NA,"",NA,"",NA,NA,145.7775,NA,NA,NA,NA,"Holothuriidae","","",2012
"2140",NA,"46c46833-d187-49ab-8507-e39b9dbf9139",NA,"7b5129cea2c12ff702462d5a01178727275b3aa1",NA,NA,NA,NA,"Holothuroidea","",NA,NA,NA,"1E6637DE-85D6-4F26-A84B-DD518FD03852",NA,NA,"Mandy Bemis, Machel Malay, Jimmy Huang","",NA,NA,"","Holothuria",NA,NA,NA,"","AMB-St004","",NA,NA,"Aspidochirotida","",NA,NA,NA,"09/08/2014",NA,"","moebii","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"Taiwan","",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,7,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PreservedSpecimen","11130-Echinodermata",NA,NA,"","",NA,NA,NA,"46c46833-d187-49ab-8507-e39b9dbf9139","","","","2014-09-12T09:34:51.516Z",NA,NA,"Holothuria moebii","",NA,"Ludwig",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,25.142,NA,"","",NA,NA,2,"",NA,NA,NA,"",NA,"",NA,NA,121.803,NA,NA,NA,NA,"Holothuriidae","","",2011
