"","dwc.verbatimEventDate","dwc.associatedSequences","dwc.verbatimCoordinateSystem","dwc.lowestBiostratigraphicZone","dwc.verbatimLocality","idigbio.preservative","idigbio.uuid","dwc.preparation","dwc.verbatimDepth","dwc.individualCount","dwc.verbatimLongitude","dwc.verbatimTaxonRank","dwc.startDayOfYear","dwc.identificationID","dwc.VerbatimEventDate","inhs.location_Stream","dwc.verbatimCoordinates","dwc.continent","dwc.earliestPeriodOrLowestSystem","dwc.rights","idigbio.barcodeValue","dwc.verbatimLatitude","inhs.total_Males","idigbio.determinationHistory","dwc.namePublishedIn","idigbio.tribe","dwc.occurrenceID","dwc.disposition","inhs.formII_females","inhs.superfamily","dwc.occurrenceRemarks","dwc.georeferencedBy","dwc.collectionID","dwc.nameAccordingTo","dwc.nomenclaturalCode","dwc.formation","idigbio.subfamily","dwc.institutionID","dwc.recordNumber","dcterms.reference","dwc.institutionCode","dwc.otherCatalogNumbers","idigbio.endangeredStatus","dwc.footprintWKT","dwc.eventTime","dwc.countryCode","http...symbiota.org.terms.verbatimScientificName","dwc.collectionCode","dwc.verbatimElevation","inhs.relic","inhs.live","dwc.dynamicProperties","idigbio.associatedFamily","dwc.taxonRemarks","inhs.instars_Male","dwc.endDayOfYear","dwc.reproductiveCondition","dwc.taxonID","idigbio.hostFamily","dwc.earliestEraOrLowestErathem","inhs.juv_males","inhs.dead","dcterms.source","dwc.scientificNameID","dwc.infraspecificEpithet","dwc.stateProvince","inhs.juv_undetermined","dwc.taxonRank","dwc.phylum","dwc.behavior","dwc.individualID","idigbio.associateCommonName","dwc.basisOfRecord","dwc.nomenclaturalStatus","dwc.year","idigbio.version","dcterms.accessRights","dwc.month","dwc.higherClassification","id","dcterms.references","dwc.scientificName","dwc.country","dwc.earliestAgeOrLowestStage","dwc.catalogNumber","dwc.minimumDepthInMeters","dwc.fieldNotes","dcterms.language","fcc.pickedBy","dwc.order","dwc.lithostratigraphicTerms","dwc.informationWithheld","dwc.identificationVerificationStatus","inhs.locationTrs","dwc.samplingProtocol","symbiota.verbatimScientificName","dwc.lifeStage","dwc.originalNameUsage","dwc.bed","dwc.typeStatus","dwc.coordinateUncertaintyInMeters","dwc.ownerInstitutionCode","idigbio.associatedRelationship","dwc.family","dwc.previousIdentifications","symbiotaverbatimScientificName","dwc.day","dwc.verbatimSRS","inhs.juv_females","inhs.vouchered","dwc.datasetName","dwc.georeferencedDate","dcterms.rights","dwc.identificationRemarks","fcc.superfamily","dwc.decimalLongitude","fcc.subfamily","dwc.latestPeriodOrHighestSystem","dwc.identificationQualifier","idigbio.substrate","inhs.location_Basin","dwc.establishmentMeans","dwc.minimumElevationInMeters","dwc.habitat","dwc.geodeticDatum","dwc.latestEpochOrHighestSeries","dcterms.type","idigbio.recordId","dwc.eventID","inhs.formII_males","dwc.genus","dwc.higherGeography","idigbio.createdBy","dwc.georeferenceProtocol","dwc.eventRemarks","idigbio.recordIds","dwc.maximumElevationInMeters","dwc.subgenus","dwc.maximumDepthInMeters","idigbio.associateAuthor","dcterms.modified","inhs.location_RiverMile","inhs.instars_Female","dwc.datasetID","dwc.earliestEpochOrLowestSeries","dwc.kingdom","dwc.islandGroup","idigbio.recordID","fcc.datePicked","dwc.associatedMedia","dwc.associatedReferences","row.number","idigbio.associateDeterminedBy","dwc.occurrenceStatus","dwc.rightsHolder","inhs.total_females","dwc.municipality","idigbio.associateIdentifier","idigbio.preparationCount","dwc.decimalLatitude","dwc.locality","dwc.dateIdentified","dwc.identificationReferences","dwc.accessRights","dwc.specificEpithet","dwc.associatedTaxa","dwc.identifiedBy","dwc.fieldNumber","idigbio.associateRelationship","idigbio.etag","dwc.samplingEffort","idigbio.associateCondition","dwc.preparations","dwc.dataGeneralizations","dwc.coordinatePrecision","dwc.latestAgeOrHighestStage","dwc.locationAccordingTo","idigbio.associateNotes","dcterms.rightsHolder","dwc.georeferenceRemarks","idigbio.dateModified","dwc.scientificNameAuthorship","dwc.georeferenceVerificationStatus","dwc.member","dwc.locationID","dwc.waterBody","dwc.latestEraOrHighestErathem","dwc.georeferenceSources","dwc.group","dwc.class","dwc.associatedOccurrences","dwc.locationRemarks","dcterms.bibliographicCitation","idigbio.subgenus","inhs.formI_males","dwc.relatedResourceID","dwc.county","dwc.recordedBy","dwc.eventDate","dwc.namePublishedInID","dwc.vernacularName","dwc.sex","dwc.island"
"153","",NA,"",NA,NA,NA,"1cd85bda-03b6-4c50-971b-361c69b91ba5",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"788A36D1-E30B-4EBC-A886-87B8AB86FF70","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Azores",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,10,"","1cd85bda-03b6-4c50-971b-361c69b91ba5","","Holothuria tubulosa","Portugal",NA,"5972-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,25,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"3a3a8e54e178911a21d3206c0d6a3fa74978d49f",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T10:54:00.255Z","Gmelin",NA,NA,"Bertoncini-01","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Athila Bertoncini","",NA,NA,"",NA
"165","",NA,"",NA,NA,NA,"e86be4d8-bcd7-4c3c-9885-e3d17bd9166a",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"983519BE-32BB-4340-93A0-9E64185423C0","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 27",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","e86be4d8-bcd7-4c3c-9885-e3d17bd9166a","","Holothuria tubulosa","Algeria",NA,"3849-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"b6cda74b41c7cb2f48aeefd4f5e56e5c822deb8b",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T11:21:04.935Z","Gmelin",NA,NA,"Mezali-003","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"240","",NA,"",NA,NA,NA,"65c86326-3804-4329-aed9-1f934bb65258",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"FC33C372-CC38-4A1C-866D-A12BFCE5BF7C","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Girona Province",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2014,NA,NA,6,"","65c86326-3804-4329-aed9-1f934bb65258","","Holothuria tubulosa","Spain",NA,"16215-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,23,NA,NA,NA,NA,NA,NA,"",NA,2.9396,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,41.7226,"","",NA,NA,"tubulosa",NA,"","",NA,"c5afbd5ae7bce0783fc7efb4582a66511027a4a8",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T17:47:58.296Z","Gmelin",NA,NA,"GP-Loc 1043","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Gustav Paulay","",NA,NA,"",NA
"291","",NA,"",NA,NA,NA,"ffb6b531-32af-4a92-bc4f-f109c498b84d",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"1C958AEE-5A22-4234-B4AF-C3253A7611C2","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 16",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","ffb6b531-32af-4a92-bc4f-f109c498b84d","","Holothuria tubulosa","Algeria",NA,"5461-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"796ef9e3616e4794b69c9563aa1fb11511e14caa",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T14:32:36.416Z","Gmelin",NA,NA,"Mezali-001","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"382","",NA,"",NA,NA,NA,"8cd82fc9-5e73-4403-a7a3-770895fc94e2",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"61E8BF22-C41B-44D1-81F9-AB0368281108","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 35",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2006,NA,NA,12,"","8cd82fc9-5e73-4403-a7a3-770895fc94e2","","Holothuria tubulosa","Algeria",NA,"4977-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,22,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"f3bd7ad979c9a7037ce55ad67b924afaeb56e643",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T09:20:43.240Z","Gmelin",NA,NA,"Mezali-002","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"479","",NA,"",NA,NA,NA,"139a8958-c805-48c3-b29b-89e2ca08da87",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"A054910F-7293-42F0-B4E0-E5CD591C8665","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 35",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","139a8958-c805-48c3-b29b-89e2ca08da87","","Holothuria tubulosa","Algeria",NA,"5463-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"5232849a6c7234ba5aba304724f2a93395550035",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T16:39:37.038Z","Gmelin",NA,NA,"Mezali-002","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"491","",NA,"",NA,NA,NA,"68a8953b-273e-429f-9959-58802f20ddfb",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"900167A4-5A87-4C3B-845F-0A690B7B345E","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 16",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","68a8953b-273e-429f-9959-58802f20ddfb","","Holothuria tubulosa","Algeria",NA,"5470-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"bdae3c344fd91c58126efddac3180ec818ea39b5",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T14:34:22.954Z","Gmelin",NA,NA,"Mezali-001","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"680","",NA,"",NA,NA,NA,"93285f13-f19d-4445-a768-4a3e66ac2c91",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"34F92F67-58A6-40F5-A834-716541EBF082","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Division 16",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2007,NA,NA,5,"","93285f13-f19d-4445-a768-4a3e66ac2c91","","Holothuria tubulosa","Algeria",NA,"3847-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"tubulosa",NA,"","",NA,"182d8fe73ff67e713c2bdf0949acbc4e6096a70b",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T12:48:59.028Z","Gmelin",NA,NA,"Mezali-001","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Karim Mezali","",NA,NA,"",NA
"716","",NA,"",NA,NA,NA,"fe2e8d43-64e4-4238-9eae-0c99c0f8c5d1",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"1829E2FF-9DD9-40A6-9806-28167F8F2641","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Girona Province",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2014,NA,NA,6,"","fe2e8d43-64e4-4238-9eae-0c99c0f8c5d1","","Holothuria tubulosa","Spain",NA,"16213-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,23,NA,NA,NA,NA,NA,NA,"",NA,2.9396,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,41.7226,"","",NA,NA,"tubulosa",NA,"","",NA,"3b2b1382f6324d48356c7aa03f7186265f90a4ed",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T10:49:55.061Z","Gmelin",NA,NA,"GP-Loc 1043","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Gustav Paulay","",NA,NA,"",NA
"737","",NA,"",NA,NA,NA,"fe48a737-777b-4a2d-a938-b01c6c835dab",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"3BE9C976-849E-493D-A784-61642DFA0100","",NA,NA,NA,"",NA,NA,"",NA,NA,"","",NA,"FLMNH","",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Girona Province",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,2014,NA,NA,6,"","fe48a737-777b-4a2d-a938-b01c6c835dab","","Holothuria tubulosa","Spain",NA,"16222-Echinodermata",NA,NA,"",NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,"Holothuriidae",NA,NA,25,NA,NA,NA,NA,NA,NA,"",NA,2.8039,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"Holothuria","","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,41.6731,"","",NA,NA,"tubulosa",NA,"","",NA,"6d3dd3d78eeca76ebdd10f6a0cdde251d5dd0202",NA,NA,"",NA,NA,NA,NA,NA,"","","2014-09-12T09:34:09.032Z","Gmelin",NA,NA,"GP-Loc 1045","",NA,"",NA,"Holothuroidea","","",NA,NA,NA,NA,"","Gustav Paulay","",NA,NA,"",NA
